                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70593,                0.57214,                      1,                0.64571,             0.00023233,             0.00023233,             0.00023233
                      2,                0.61517,                0.65174,                      1,                0.61552,             0.00043452,             0.00043452,             0.00043452
                      3,                0.56734,                0.68159,                      1,                0.59206,             0.00060045,             0.00060045,             0.00060045
                      4,                0.58035,                0.68657,                      1,                 0.5816,             0.00055088,             0.00055088,             0.00055088
                      5,                0.58382,                0.71642,                      1,                0.55014,             0.00055088,             0.00055088,             0.00055088
                      6,                0.53347,                0.71144,                      1,                0.57678,              0.0004965,              0.0004965,              0.0004965
                      7,                0.50009,                0.69652,                      1,                0.55962,             0.00044213,             0.00044213,             0.00044213
                      8,                0.48033,                0.76617,                      1,                0.55892,             0.00038776,             0.00038776,             0.00038776
                      9,                0.50362,                0.73632,                      1,                0.54804,             0.00033338,             0.00033338,             0.00033338
                     10,                0.44814,                0.76617,                      1,                0.54563,             0.00027901,             0.00027901,             0.00027901
                     11,                0.45507,                0.77114,                      1,                0.54326,             0.00022464,             0.00022464,             0.00022464
                     12,                0.41925,                0.75124,                      1,                 0.5247,             0.00017026,             0.00017026,             0.00017026
                     13,                0.45965,                0.76119,                      1,                0.54356,             0.00011589,             0.00011589,             0.00011589
